RunId,iteration,Step,width,height,density,minority_pc,homophily,k,policy,follow_policy,perc_happy,segregation
5373,81,35,50,50,0.75,0.4,3,1,minimum_improvement,0.5,1.0,0.6231961517904864
5339,80,100,50,50,0.75,0.4,3,1,different_neighborhood,0.4,0.9936136242682277,0.6577967003725386
5371,81,100,50,50,0.75,0.4,3,1,minimum_improvement,0.3,0.9994591671173607,0.6577879935100054
5374,81,23,50,50,0.75,0.4,3,1,minimum_improvement,0.6,1.0,0.6266508188061278
5358,81,100,50,50,0.75,0.4,3,1,distance_relevance,0.1,0.9897629310344828,0.6303879310344828
5375,81,22,50,50,0.75,0.4,3,1,minimum_improvement,0.7,1.0,0.6036909187466808
4860,73,100,50,50,0.75,0.4,3,1,recently_emptied,0.9,0.9508373851971907,0.6126418152350082
5377,81,14,50,50,0.75,0.4,3,1,minimum_improvement,0.9,1.0,0.5620643431635389
4992,75,100,50,50,0.75,0.4,3,1,recently_emptied,0.9,0.9628647214854111,0.6230769230769231
5376,81,24,50,50,0.75,0.4,3,1,minimum_improvement,0.8,1.0,0.577140549273021
4991,75,100,50,50,0.75,0.4,3,1,recently_emptied,0.8,0.9625468164794008,0.6328250401284109
5379,81,23,50,50,0.75,0.4,3,1,recently_emptied,0.0,1.0,0.6457446808510638
5342,80,100,50,50,0.75,0.4,3,1,different_neighborhood,0.7,0.9934640522875817,0.6518246187363834
5344,80,100,50,50,0.75,0.4,3,1,different_neighborhood,0.9,0.9946149703823371,0.6852450188476037
5298,80,100,50,50,0.75,0.4,3,1,distance_relevance,0.7,0.9444738233738763,0.5481226864093073
5299,80,100,50,50,0.75,0.4,3,1,distance_relevance,0.8,0.9432059447983014,0.546443736730361
5359,81,100,50,50,0.75,0.4,3,1,distance_relevance,0.2,0.9822675980655562,0.6234551316496507
5378,81,100,50,50,0.75,0.4,3,1,minimum_improvement,1.0,0.9994689325544344,0.5519118428040362
5390,81,22,50,50,0.75,0.4,3,1,similar_neighborhood,0.0,1.0,0.664247311827957
5345,80,100,50,50,0.75,0.4,3,1,different_neighborhood,1.0,0.9930555555555556,0.6940438034188035
5391,81,21,50,50,0.75,0.4,3,1,similar_neighborhood,0.1,1.0,0.6742503945291951
5392,81,23,50,50,0.75,0.4,3,1,similar_neighborhood,0.2,1.0,0.6871993586317477
5393,81,25,50,50,0.75,0.4,3,1,similar_neighborhood,0.3,1.0,0.7056847545219638
5343,80,100,50,50,0.75,0.4,3,1,different_neighborhood,0.8,0.9930032292787944,0.6730355220667384
5394,81,34,50,50,0.75,0.4,3,1,similar_neighborhood,0.4,1.0,0.7035599571734475
5395,81,24,50,50,0.75,0.4,3,1,similar_neighborhood,0.5,1.0,0.7163641217298452
5396,81,30,50,50,0.75,0.4,3,1,similar_neighborhood,0.6,1.0,0.7410714285714286
5397,81,28,50,50,0.75,0.4,3,1,similar_neighborhood,0.7,1.0,0.7399139322216245
5398,81,27,50,50,0.75,0.4,3,1,similar_neighborhood,0.8,1.0,0.7433119315141787
5399,81,35,50,50,0.75,0.4,3,1,similar_neighborhood,0.9,1.0,0.7491982896846606
5400,81,3,50,50,0.75,0.4,3,1,similar_neighborhood,1.0,1.0,0.7767809319764328
5401,81,23,50,50,0.75,0.4,3,1,different_neighborhood,0.0,1.0,0.679168915272531
5316,80,100,50,50,0.75,0.4,3,1,recently_emptied,0.3,0.9899736147757255,0.6614775725593668
5300,80,100,50,50,0.75,0.4,3,1,distance_relevance,0.9,0.9278514588859417,0.5222811671087533
5187,78,100,50,50,0.75,0.4,3,1,recently_emptied,0.6,0.9804028307022319,0.6533750680457268
5315,80,100,50,50,0.75,0.4,3,1,recently_emptied,0.2,0.9911357340720222,0.6666204986149584
5412,82,18,50,50,0.75,0.4,3,1,random,0.0,1.0,0.6526008492569002
5254,79,100,50,50,0.75,0.4,3,1,recently_emptied,0.7,0.9847928683796539,0.6681961195595175
5360,81,100,50,50,0.75,0.4,3,1,distance_relevance,0.3,0.9666840187402395,0.5972149921915669
5413,82,28,50,50,0.75,0.4,3,1,random,0.1,1.0,0.6592133620689655
5414,82,25,50,50,0.75,0.4,3,1,random,0.2,1.0,0.6373814541622761
5415,82,26,50,50,0.75,0.4,3,1,random,0.3,1.0,0.6663113006396588
5416,82,25,50,50,0.75,0.4,3,1,random,0.4,1.0,0.6762162162162162
5361,81,100,50,50,0.75,0.4,3,1,distance_relevance,0.4,0.9645351961311123,0.5925577646426652
5402,81,100,50,50,0.75,0.4,3,1,different_neighborhood,0.1,0.9973835688121402,0.6641810570381999
5417,82,23,50,50,0.75,0.4,3,1,random,0.5,1.0,0.6703888596952181
5418,82,31,50,50,0.75,0.4,3,1,random,0.6,1.0,0.6584941050375134
5420,82,24,50,50,0.75,0.4,3,1,random,0.8,1.0,0.6605037513397642
5419,82,25,50,50,0.75,0.4,3,1,random,0.7,1.0,0.6613253666485606
5421,82,26,50,50,0.75,0.4,3,1,random,0.9,1.0,0.6624675324675324
5422,82,29,50,50,0.75,0.4,3,1,random,1.0,1.0,0.6679707876890976
5423,82,25,50,50,0.75,0.4,3,1,distance_relevance,0.0,1.0,0.6534031413612565
5301,80,100,50,50,0.75,0.4,3,1,distance_relevance,1.0,0.9215475550779151,0.5088662009672219
5405,81,100,50,50,0.75,0.4,3,1,different_neighborhood,0.4,0.9968,0.668
5363,81,100,50,50,0.75,0.4,3,1,distance_relevance,0.6,0.9560021727322108,0.5673546985334058
5362,81,100,50,50,0.75,0.4,3,1,distance_relevance,0.5,0.9541822056473095,0.5643313798614811
5409,81,100,50,50,0.75,0.4,3,1,different_neighborhood,0.8,0.9973656480505796,0.672286617492097
5434,82,21,50,50,0.75,0.4,3,1,minimum_improvement,0.0,1.0,0.6544959128065395
5435,82,16,50,50,0.75,0.4,3,1,minimum_improvement,0.1,1.0,0.6591386554621849
5380,81,100,50,50,0.75,0.4,3,1,recently_emptied,0.1,0.994711792702274,0.6570597567424643
5436,82,30,50,50,0.75,0.4,3,1,minimum_improvement,0.2,1.0,0.623203831825439
5404,81,100,50,50,0.75,0.4,3,1,different_neighborhood,0.3,0.9926509186351706,0.6564304461942257
5122,77,100,50,50,0.75,0.4,3,1,recently_emptied,0.7,0.9691160809371672,0.6586794462193823
5437,82,35,50,50,0.75,0.4,3,1,minimum_improvement,0.3,1.0,0.6291666666666667
5406,81,100,50,50,0.75,0.4,3,1,different_neighborhood,0.5,0.9935414424111948,0.6543326157158235
5403,81,100,50,50,0.75,0.4,3,1,different_neighborhood,0.2,0.9899789029535865,0.6550632911392406
5439,82,35,50,50,0.75,0.4,3,1,minimum_improvement,0.5,1.0,0.6252668089647813
5424,82,100,50,50,0.75,0.4,3,1,distance_relevance,0.1,0.9894736842105263,0.6331578947368421
5440,82,25,50,50,0.75,0.4,3,1,minimum_improvement,0.6,1.0,0.607731137088204
5438,82,44,50,50,0.75,0.4,3,1,minimum_improvement,0.4,1.0,0.6273559504577275
5411,81,100,50,50,0.75,0.4,3,1,different_neighborhood,1.0,0.995764955002647,0.6729751191106406
5441,82,29,50,50,0.75,0.4,3,1,minimum_improvement,0.7,1.0,0.610792349726776
5445,82,23,50,50,0.75,0.4,3,1,recently_emptied,0.0,1.0,0.653856526429342
5364,81,100,50,50,0.75,0.4,3,1,distance_relevance,0.7,0.9424686192468619,0.5550470711297071
5443,82,17,50,50,0.75,0.4,3,1,minimum_improvement,0.9,1.0,0.5686486486486486
5442,82,17,50,50,0.75,0.4,3,1,minimum_improvement,0.8,1.0,0.579073482428115
5444,82,6,50,50,0.75,0.4,3,1,minimum_improvement,1.0,1.0,0.5513297872340426
5317,80,100,50,50,0.75,0.4,3,1,recently_emptied,0.4,0.9843497031840259,0.6543443065299515
5410,81,100,50,50,0.75,0.4,3,1,different_neighborhood,0.9,0.9931289640591966,0.6822145877378436
5408,81,100,50,50,0.75,0.4,3,1,different_neighborhood,0.7,0.9904761904761905,0.6756613756613756
5318,80,100,50,50,0.75,0.4,3,1,recently_emptied,0.5,0.985968699406368,0.650296815974096
5365,81,100,50,50,0.75,0.4,3,1,distance_relevance,0.8,0.9394921663965424,0.5360615883306321
5384,81,100,50,50,0.75,0.4,3,1,recently_emptied,0.5,0.9929919137466308,0.6820754716981132
5456,82,22,50,50,0.75,0.4,3,1,similar_neighborhood,0.0,1.0,0.6499187432286024
5459,82,18,50,50,0.75,0.4,3,1,similar_neighborhood,0.3,1.0,0.7044354838709678
5407,81,100,50,50,0.75,0.4,3,1,different_neighborhood,0.6,0.9878499735868991,0.6665346011621764
5457,82,29,50,50,0.75,0.4,3,1,similar_neighborhood,0.1,1.0,0.6797297297297298
5458,82,37,50,50,0.75,0.4,3,1,similar_neighborhood,0.2,1.0,0.6835221143473571
5460,82,18,50,50,0.75,0.4,3,1,similar_neighborhood,0.4,1.0,0.7227709556860651
5425,82,100,50,50,0.75,0.4,3,1,distance_relevance,0.2,0.9753483386923901,0.6243301178992497
5461,82,25,50,50,0.75,0.4,3,1,similar_neighborhood,0.5,1.0,0.7149481723949809
5462,82,29,50,50,0.75,0.4,3,1,similar_neighborhood,0.6,1.0,0.7218085106382979
5463,82,23,50,50,0.75,0.4,3,1,similar_neighborhood,0.7,1.0,0.7466772993088783
5464,82,29,50,50,0.75,0.4,3,1,similar_neighborhood,0.8,1.0,0.7368421052631579
